Source,Target,Type,Id,Label,Weight
BM&AG,National Cataloguing Grants Programme for Archives,Undirected,708,,1
BM,British Petroleum,Undirected,709,,1
BM,Museo de Arte de Lima,Undirected,710,,1
BM,PROMPERÚ,Undirected,711,,1
BM,The Asahi Shimbun,Undirected,712,,1
BM,The Bagri Foundation,Undirected,713,,1
BM,The Contemporary and Modern Middle Eastern Art (CaMMEA) acquisitions group,Undirected,714,,1
Blanton Museum of Art de la Universidad de Texas en Austin,MRS,Undirected,715,,1
Blanton Museum of Art de la Universidad de Texas en Austin,Museo de Arte de Lima,Undirected,716,,1
Blanton Museum of Art de la Universidad de Texas en Austin,PROMPERÚ,Undirected,717,,1
Bono cultural,Departamento de Biología de la Universidad Autónoma de Madrid,Undirected,718,,1
Bono cultural,M16,Undirected,719,,9
Bono cultural,MDA,Undirected,720,,9
Bono cultural,MNA,Undirected,721,,6
Bono cultural,Portal España es Cultura,Undirected,722,,6
Bono cultural,Portal de la transparencia,Undirected,723,,15
Bono cultural,Universidad de Loughborough (Reino Unido),Undirected,724,,1
Centenario direccion general bellas artes,MDA,Undirected,725,,1
Centenario direccion general bellas artes,Museo IXCHEL del traje indigena,Undirected,726,,1
Ciudad de México,Embajada de la República Argentina,Undirected,727,,1
Ciudad de México,MRS,Undirected,728,,1
Ciudad de México,Museo Universitario Arte Contemporáneo de la Universidad Nacional Autónoma de México (MUAC),Undirected,729,,1
Ciudad de México,Museo de Reina Sofia,Undirected,730,,1
Claire Barnes,Connection Support,Undirected,731,,1
Claire Barnes,Dr Jenny Balfour-Paul,Undirected,732,,1
Claire Barnes,Dr Laura Fan,Undirected,733,,1
Claire Barnes,Faye Belsey,Undirected,734,,1
Claire Barnes,Gillian Vogelsang-Eastwood,Undirected,735,,1
Claire Barnes,Iraqi Women Art and War,Undirected,736,,1
Claire Barnes,Jenny Balfour-Paul ,Undirected,737,,1
Claire Barnes,Margaret Mary Vale,Undirected,738,,1
Claire Barnes,Nicola Bird,Undirected,739,,1
Claire Barnes,Nuha Abdo,Undirected,740,,1
Claire Barnes,PR,Undirected,741,,1
Claire Barnes,Reem Alalaf ,Undirected,742,,1
Claire Barnes,Refugee Resource,Undirected,743,,1
Claire Barnes,Sheila Paine,Undirected,744,,1
Claire Barnes,Shelagh Weir,Undirected,745,,1
Claire Barnes,Syrian Sisters,Undirected,746,,1
Claire Barnes,Widad Kawar,Undirected,747,,1
Claire Barnes,the History of Science Museum,Undirected,748,,1
Clare Harris,PR,Undirected,749,,1
Clare Harris,Tibetan community in the UK,Undirected,750,,1
Comisión Arte Virreinal de la Fundación Amigos del Museo del Prado,Fundación AXA,Undirected,751,,1
Comisión Arte Virreinal de la Fundación Amigos del Museo del Prado,MDP,Undirected,752,,1
